id|nome|região|lat|long
8583446|BARRA FUNDA|Oeste|-46.674086651051155|-23.52119556788155
8583427|VILA ANDRADE|Sul|-46.72827920413037|-23.626230581869073
8583412|SANTA CECILIA|Centro|-46.65287657018445|-23.53179524922717
8583435|VILA MATILDE|Leste|-46.51787549070189|-23.539360756615803
8583404|PERUS|Norte|-46.74614256213217|-23.407923496128426
8583445|ARTUR ALVIM|Leste|-46.485817901009455|-23.540143854908116
8583423|SOCORRO|Sul|-46.71371679662883|-23.685280441543654
8583399|PARI|Leste|-46.617511465754006|-23.52718623747066
8583395|MARSILAC|Sul|-46.707981624584704|-23.93526303175756
8583422|SE|Centro|-46.63144781042572|-23.547713025201766
8583436|VILA MEDEIROS|Norte|-46.57761954149386|-23.488737336559474
8583426|TUCURUVI|Norte|-46.60604315319676|-23.475702115009494
